project_name,file_name,nr_classes,nr_functions,ncls,slc,mlc,nr_of_lines,file_length,regexpsl,line_length,method_length,has_todo,boolean_e_c,cdac,cfoc,ccn,nppathc,javancss,nbugs,nbugs_confirmation
Apache CXF,BusServer.java,1,4,32,4,18,75,0,2,3,0,0,0,0,0,0,0,0,0.33333334,0.33333334
Apache CXF,ColocUtil.java,1,7,108,3,18,180,0,15,5,0,0,0,0,1,3,2,2,0.037037037,0.037037037
Apache CXF,CorbaTest.java,1,4,42,0,18,97,0,6,9,0,0,0,0,1,0,0,0,0.33333334,0.33333334
Apache CXF,DummyImpl.java,1,0,4,1,18,28,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
Apache CXF,FaultBean.java,1,7,65,0,18,127,0,9,9,0,0,0,0,1,0,0,2,0.055555556,0.055555556
Apache CXF,HttpUtils.java,1,24,189,4,18,331,0,53,20,0,0,1,0,1,2,1,2,1.0,1.0
Apache CXF,IDLParser.java,1,232,4775,156,0,7180,1,507,353,1,0,12,0,1,61,6,112,0.027777778,0.027777778
Apache CXF,IDLToWSDL.java,1,8,120,0,18,232,0,9,17,0,0,1,1,1,3,2,4,0.2,0.2
Apache CXF,JAXBUtils.java,11,55,487,12,26,830,0,84,56,0,0,0,1,2,8,7,10,0.5,0.5
Apache CXF,MyService.java,1,3,12,0,18,46,0,5,0,0,0,0,0,0,0,0,0,2.6111112,2.6111112
Apache CXF,OrbConfig.java,1,15,107,6,18,192,0,18,6,0,0,0,1,1,1,0,3,0.2,0.2
Apache CXF,Processor.java,1,2,4,0,18,26,0,0,0,0,0,0,0,0,0,0,0,0.2800175,0.2800175
Apache CXF,PullPoint.java,1,6,31,0,18,67,0,1,2,0,0,0,0,1,0,0,0,0.010989011,0.010989011
Apache CXF,RMFeature.java,1,8,76,0,18,136,0,1,0,0,0,0,0,1,1,1,3,0.11111111,0.11111111
Apache CXF,RMTxStore.java,1,31,393,7,18,667,0,127,52,0,0,0,1,1,8,9,7,1.0,1.0
Apache CXF,STSClient.java,1,47,609,6,18,860,0,9,45,0,0,0,1,1,6,5,7,1.0,1.0
Apache CXF,Something.java,1,4,12,2,18,54,0,1,0,0,0,0,0,0,0,0,0,0.59090906,0.59090906
Apache CXF,SpringBus.java,2,9,92,1,18,162,0,12,7,0,0,0,0,1,1,2,3,0.055555556,0.055555556
Apache CXF,StaxUtils.java,1,34,373,7,19,717,0,17,40,0,1,0,0,1,9,5,7,6.045253,6.045253
Apache CXF,WebClient.java,2,51,219,2,18,553,0,80,25,0,0,0,1,2,0,0,2,1.3928572,1.3928572
Apache CXF,XMLServer.java,1,2,24,0,18,56,0,3,0,0,0,0,0,0,0,0,0,0.03448276,0.03448276
Apache CXF,AddNumbers.java,1,1,8,0,18,33,0,0,0,0,0,0,0,0,0,0,0,0.5588235,0.5588235
Apache CXF,AegisJaxWs.java,1,4,11,0,18,50,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0
Apache CXF,BusFactory.java,1,14,116,2,18,284,0,40,19,0,0,0,0,1,2,2,3,0.5222222,0.5222222
Apache CXF,CXFBusImpl.java,3,31,163,4,18,294,0,20,17,0,0,0,0,1,1,3,2,0.5,0.5
Apache CXF,CXFServlet.java,1,6,85,7,18,170,0,8,8,0,0,0,0,1,2,2,3,1.0384616,1.0384616
Apache CXF,ClaimsTest.java,1,6,69,5,18,150,0,17,7,0,0,0,0,1,0,0,2,0.25,0.25
