@relation 'final_with_weka_header-weka.filters.unsupervised.attribute.Remove-R1-2,21-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,9,11-12,17'

@attribute ncls numeric
@attribute slc numeric
@attribute regexpsl numeric
@attribute method_length numeric
@attribute cdac numeric
@attribute cfoc numeric
@attribute ccn numeric
@attribute nppathc numeric
@attribute nbug1 numeric

@data
398,6,141,0,1,1,0,0,0.027778
103,4,23,0,0,1,0,0,0.034483
68,1,2,0,1,1,0,0,0.5
7,0,0,0,0,0,0,0,0.407158
9,0,2,0,0,0,0,0,0.0625
216,9,58,0,1,1,0,0,1.5
28,1,5,0,0,0,0,0,0.014706
169,18,5,0,0,0,0,0,0.090909
192,7,31,0,1,1,0,0,1
909,18,84,0,2,2,21,13,1
140,2,34,0,0,0,0,0,0.5
158,10,34,0,0,2,2,2,0.555556
282,4,61,0,1,1,2,3,3.67619
35,0,4,0,0,1,0,0,1
88,3,16,0,1,1,0,0,1
35,0,2,0,0,0,0,0,1
37,2,1,0,1,1,1,1,5.309524
14,0,1,0,0,0,0,0,1
9,0,1,0,0,0,0,0,0.0625
89,0,8,0,0,1,1,1,0.037037
71,0,0,0,0,1,0,1,1.166667
736,12,5,0,1,1,0,0,1.527778
73,0,2,0,1,1,2,1,2
146,7,23,0,1,1,5,2,0.5
90,3,17,0,0,1,3,1,0.027027
88,0,7,0,0,1,1,1,0.166667
27,0,8,0,0,0,0,0,0.166667
5,0,0,0,0,0,0,0,0.333333
14,0,7,0,0,0,0,0,0.098039
49,0,1,0,1,1,0,0,1
13,0,4,0,0,0,0,0,0.111111
5,1,0,0,0,0,0,0,0.4
504,19,93,0,1,1,11,11,2
23,1,0,0,0,0,0,0,0.125
1103,25,417,0,1,1,2,0,2.2625
100,8,2,0,0,1,0,0,0.227778
252,28,103,0,1,4,3,2,2.561111
306,0,103,0,1,1,1,1,0.333333
48,3,8,0,0,1,0,0,1
11,0,1,0,0,0,0,0,0.083333
8,6,1,0,0,0,0,0,0.333333
6,0,4,0,0,0,0,0,0.21024
22,0,1,0,0,0,0,0,0.25
300,0,5,0,0,1,0,0,0.098039
295,9,18,0,1,2,5,4,0.037037
4,0,0,0,0,0,0,0,0.037037
23,0,6,0,0,1,0,0,0.095238
86,0,11,0,0,1,1,1,0.027778
15,0,7,0,0,0,0,0,0.032258
54,1,10,0,0,1,0,0,0.5
30,17,4,0,0,1,1,0,1
76,0,3,0,0,1,1,1,0.181818
274,12,27,0,1,1,4,3,0.875
263,20,2,0,1,1,3,3,1
406,43,25,0,1,1,6,6,0.138393
22,1,5,0,0,0,0,0,0.103175
24,0,7,0,0,1,0,0,0.2
119,5,38,0,0,1,2,1,0.073212
47,2,14,0,1,1,0,0,0.25
145,3,0,0,1,1,0,0,0.055556
121,3,9,0,1,1,0,0,0.333333
51,12,14,0,0,1,0,0,1
21,0,6,0,0,0,1,0,0.037037
311,11,107,0,1,2,8,6,2.892857
21,0,3,0,0,1,0,0,0.010989
16,0,1,0,0,0,0,0,0.326681
54,2,9,0,1,1,0,0,0.802778
157,0,28,0,0,1,0,0,0.611111
9,0,4,0,0,0,0,0,0.014706
12,0,8,0,0,0,0,0,0.281668
28,0,1,0,0,0,0,0,0.071429
407,73,147,0,1,1,1,1,0.032258
61,10,25,0,0,0,0,0,0.833333
21,0,13,0,0,0,0,0,0.755556
26,1,4,0,0,1,0,0,0.037037
802,32,80,0,1,2,13,11,1.7
66,3,14,0,0,1,0,0,0.305556
76,0,12,0,0,1,1,0,0.5
41,1,6,0,0,0,1,1,0.037037
5,0,2,0,0,0,0,0,0.2
9,0,2,0,0,0,0,0,0.833333
238,1,14,0,1,1,1,2,0.5
24,0,6,0,0,0,0,0,0.0625
16,0,2,0,0,0,0,0,0.037037
4,0,4,0,0,0,0,0,0.014706
116,0,22,0,1,1,0,0,0.014706
113,1,0,0,0,1,2,2,0.5
309,1,1,0,0,1,1,1,0.25
181,7,46,0,1,1,0,0,0.5
998,18,268,0,1,2,18,15,1.5
241,3,9,0,1,1,2,3,1
83,1,4,0,0,3,0,0,1
10,0,0,0,0,0,0,0,0.4
188,10,60,0,0,1,3,2,0.166667
9,0,1,0,0,0,0,0,3.535353
