Project	File Name	data	bugs
Apache Pig	POStore.java	(1,32,142,10,17)	1.430069
Apache Pig	POUnion.java	(1,11,78,22,20)	1.152948
Apache Pig	PigDump.java	(1,4,15,1,20)	0.5559451
Apache Pig	PigFile.java	(1,5,38,0,17)	0.093447305
Apache Pig	REPLACE.java	(1,2,23,9,17)	0.40812325
Apache Pig	Reverse.java	(1,2,29,0,20)	0.11764706
Apache Pig	TestAdd.java	(1,2,214,26,19)	0.19357823
Apache Pig	TestMap.java	(1,6,192,16,16)	0.16666667
Apache Pig	TestMod.java	(1,2,212,26,19)	0.19357823
Apache Pig	TestUDF.java	(1,6,78,0,17)	2.8666666
Apache Pig	ToTuple.java	(1,2,24,0,26)	0.023809524
Apache Pig	UCFIRST.java	(1,2,22,0,17)	0.11764706
Apache Pig	UcFirst.java	(1,0,9,0,20)	0.14145659
Apache Pig	UriUtil.java	(1,2,16,0,17)	0.75
Apache Pig	CompCond.java	(1,6,89,3,17)	0.017483585
Apache Pig	DataAtom.java	(1,22,106,6,17)	0.07955842
Apache Pig	DiffDate.java	(1,3,45,0,17)	0.055992875
Apache Pig	Distinct.java	(4,9,51,6,38)	0.29347825
Apache Pig	EvalFunc.java	(1,16,93,15,17)	4.425817
Apache Pig	EvalSpec.java	(3,28,112,2,29)	1.5326351
Apache Pig	ExecType.java	(1,0,2,0,29)	0.76666665
Apache Pig	FileList.java	(1,4,18,0,17)	0.2857143
Apache Pig	FileSpec.java	(1,8,31,0,17)	0.017483585
Apache Pig	FloatAbs.java	(1,2,17,0,17)	0.023809524
Apache Pig	FloatAvg.java	(4,14,159,15,18)	0.21988796
Apache Pig	FloatMax.java	(4,9,81,4,17)	0.057983194
Apache Pig	FloatMin.java	(4,12,103,4,19)	0.029411765
Apache Pig	FloatSum.java	(4,10,103,12,17)	0.5579832
Apache Pig	FuncCond.java	(1,6,55,0,17)	0.017483585
Apache Pig	FuncSpec.java	(1,16,94,1,20)	0.3396104
Apache Pig	GenPhyOp.java	(2,52,494,1,17)	0.66763467
Apache Pig	GetMonth.java	(1,3,22,0,17)	0.064764805
Apache Pig	Identity.java	(1,2,9,0,17)	0.8666667
Apache Pig	JobStats.java	(1,51,394,5,17)	4.686111
Apache Pig	LODivide.java	(1,5,26,0,17)	0.18465386
Apache Pig	LOFRJoin.java	(1,14,140,20,22)	0.3270202
Apache Pig	LOFilter.java	(1,15,161,3,20)	1.2854384
Apache Pig	LOIsNull.java	(1,5,25,0,17)	0.18465386
Apache Pig	LONative.java	(1,8,46,45,17)	0.061904762
Apache Pig	LORegexp.java		0.18465386
Apache Pig	LOStream.java	(1,10,55,3,17)	1.1588745
Apache Pig	LoadFunc.java	(1,11,100,6,17)	3.703001
Apache Pig	LocalDir.java	(1,14,78,0,17)	0.112641245
Apache Pig	LocalJob.java	(2,14,79,0,17)	0.0891564
